depictedLabel;common
Grey Partridge;Grey Partridge
Eurasian Eagle-owl;eurasian eagle owl
Eurasian Eagle-owl;Eurasian Eagle-owl
Eurasian Eagle-owl;Northern Eagle Owl
house cat;Cat
Centaurea cyanus;Cornflower
dog;Dog
Allium cepa;garden onion
Pyrus;pear
Allium ascalonicum;wild onion
bird;birds
asparagus;garden asparagus
Eurasian Jay;Jay
Rubus fruticosus;blackberry, bramble
Rubus fruticosus;shrubby blackberry
Common Starling;Common Starling
Common Starling;European Starling
Cynara scolymus;globe artichoke
Brassica oleracea var. botrytis;broccoli
Common Starling;Starling
Black Grouse;Black Grouse
Syringa;lilac
Syringa vulgaris;Common Lilac
Eurasian Jay;Eurasian Jay
asparagus;wild asparagus
Common Kingfisher;Kingfisher
Common Kingfisher;Common Kingfisher
Common Kingfisher;European Kingfisher
Brassica oleracea var. botrytis;cauliflower
European Green Woodpecker;Eurasian Green Woodpecker
European Green Woodpecker;European Green Woodpecker
European Green Woodpecker;green woodpecker
Sus scrofa;Wild Boar
tulip;tulip
Solanum melongena;brinjal
Sorbus;mountain ash
Sorbus;Rowan
Sorbus;Service-tree
Sorbus;Whitebeam
Leucanthemum vulgare;ox-eye daisy
Leucanthemum vulgare;oxeye daisy
tomato;garden tomato
Paeonia;peony
Papaver;poppy
celery;wild celery
Viola;violet
Ranunculus;buttercup
Ranunculus;`awa Kanaloa genus
Ranunculus;buttercup genus
Ranunculus;crowfoot genus
Ranunculus;makou genus
Atlantic herring;Protestant
Atlantic herring;Melker
Atlantic herring;herring
pig;Domestic pig
Atlantic herring;Red Herring
Atlantic herring;Atlantic herring
Atlantic herring;Bank Herring
Atlantic herring;Bismark Herring
Atlantic herring;Bloater
Atlantic herring;Cleanplate Herring
Atlantic herring;Cut spiced Herring
Atlantic herring;Fall Herring
Atlantic herring;Golden Cure
Atlantic herring;Hern
Atlantic herring;Herning
Atlantic herring;Herron
Atlantic herring;Kipper Herring
Atlantic herring;Klondyked Herring
Atlantic herring;Labrador Herring
Atlantic herring;Matje Cured Herring
Atlantic herring;Mediterranean Cure
Atlantic herring;Mesh Herring
Atlantic herring;Milker Herring
Atlantic herring;Murman Herring
Atlantic herring;Mustard Herring
Atlantic herring;Newcastle Kipper
Atlantic herring;Norwegian Cured Herring
Atlantic herring;Norwegian Herring
Atlantic herring;Norwegian Milker
Atlantic herring;Norwegian Silver Herring
Atlantic herring;Norwegian Sloe
Atlantic herring;Oriental Cure
Atlantic herring;Pickled Herring
Atlantic herring;Pickling
Atlantic herring;Sea Atlantic Herring
Atlantic herring;Sea Herring
Atlantic herring;Sea Stick
Atlantic herring;Shore Herring
Atlantic herring;Sild
Atlantic herring;Silver Cured Herring
Atlantic herring;Soused Herring
Atlantic herring;Split Cure Herring
Atlantic herring;Spring Herring
Atlantic herring;Sugar Cured Fish
Atlantic herring;Summer Herring
Atlantic herring;Whitebait
Atlantic herring;Yawling
Atlantic herring;Split
Atlantic herring;Mattie
Atlantic herring;Kipper
Atlantic herring;Pearl Essence
Mimosa;sensitive plant
Lepidoptera;lepidopteran
Lepidoptera;Butterflies and Moths
Crataegus;hawthorn
Dahlia;dahlia
insect;insects
Begonia;begonia
Gladiolus;gladiolus
kohlrabi;kohlrabi
rhubarb;Rhubarb
Eurasian Bittern;Eurasian Bittern
Chrysanthemum;daisy
rhubarb;garden rhubarb
horse;horse
peach;peach
Citrus medica;citron
European Goldfinch;European Goldfinch
Iris;blackberry-lily
Iris;iris
