painting,paintingLabel,depicted,depictedLabel,common,inception,countryLabel,iso
http://www.wikidata.org/entity/Q153517,The Basket of Bread,http://www.wikidata.org/entity/Q7802,bread,,1926-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q2270291,Basket of Fruit,http://www.wikidata.org/entity/Q201097,basket,,1600-01-01T00:00:00Z,Italy,ITA
http://www.wikidata.org/entity/Q2349656,"Still-Life of Glass, Pottery, and Sweets",http://www.wikidata.org/entity/Q987767,physical container,,1622-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q843173,Pyrrhula,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q6578319,malleolus,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q355304,watercourse,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q1781689,Still Life with Old Shoe,http://www.wikidata.org/entity/Q3203538,dress boot,,1937-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q987767,physical container,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2270291,Basket of Fruit,http://www.wikidata.org/entity/Q13099586,pear,,1600-01-01T00:00:00Z,Italy,ITA
http://www.wikidata.org/entity/Q2270291,Basket of Fruit,http://www.wikidata.org/entity/Q2746643,fig,,1600-01-01T00:00:00Z,Italy,ITA
http://www.wikidata.org/entity/Q1399035,Fruit in a Faience Dish,http://www.wikidata.org/entity/Q12372598,plum,,1621-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q506294,picnic,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q1092993,barque,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q201097,basket,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q1781689,Still Life with Old Shoe,http://www.wikidata.org/entity/Q81881,fork,,1937-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q422666,understory,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q610803,Basket of Bread,http://www.wikidata.org/entity/Q201097,basket,,1945-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q611609,Siphon and Small Bottle of Rum,http://www.wikidata.org/entity/Q426656,siphon,,1924-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q8441,man,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2349656,"Still-Life of Glass, Pottery, and Sweets",http://www.wikidata.org/entity/Q5159627,confection,,1622-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q2349666,"Rideau, Cruchon et Compotier",http://www.wikidata.org/entity/Q49005,curtain,,1893-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q610803,Basket of Bread,http://www.wikidata.org/entity/Q14748,table,,1945-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q14952,headgear,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q327651,bath,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2349656,"Still-Life of Glass, Pottery, and Sweets",http://www.wikidata.org/entity/Q17379525,pottery ware,,1622-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q19983456,gaze towards the viewer,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q5135552,"clothed male, naked female",,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q148993,broad-leaved tree,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q1781689,Still Life with Old Shoe,http://www.wikidata.org/entity/Q80228,bottle,,1937-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q10791,nudity,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2349662,Still Life with Sweets,http://www.wikidata.org/entity/Q208021,walnut,,1622-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q7126304,Eugène Manet,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q207123,herb,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q153517,The Basket of Bread,http://www.wikidata.org/entity/Q28823,textile,,1926-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q2349652,Still-Life with Partridge and Iron Gloves,http://www.wikidata.org/entity/Q26106,Grey Partridge,Grey Partridge,1504-01-01T00:00:00Z,Italy,ITA
http://www.wikidata.org/entity/Q1781689,Still Life with Old Shoe,http://www.wikidata.org/entity/Q7802,bread,,1937-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q611609,Siphon and Small Bottle of Rum,http://www.wikidata.org/entity/Q80228,bottle,,1924-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q1849468,Ferdinand Leenhoff,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q7802,bread,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q196,cherry,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q808132,barefoot,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q373017,basketry,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q610803,Basket of Bread,http://www.wikidata.org/entity/Q7802,bread,,1945-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q193818,hip,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2349656,"Still-Life of Glass, Pottery, and Sweets",http://www.wikidata.org/entity/Q170571,still life,,1622-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q467,woman,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2229658,Boxes and glass with sweets,http://www.wikidata.org/entity/Q81895,spoon,,1621-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q1399035,Fruit in a Faience Dish,http://www.wikidata.org/entity/Q5881191,melon,,1621-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q665028,Dead Eagle Owl,http://www.wikidata.org/entity/Q202994,carrion,,1881-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q154425,toe,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2270291,Basket of Fruit,http://www.wikidata.org/entity/Q89,apple,,1600-01-01T00:00:00Z,Italy,ITA
http://www.wikidata.org/entity/Q665028,Dead Eagle Owl,http://www.wikidata.org/entity/Q5647973,hanging,,1881-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q153517,The Basket of Bread,http://www.wikidata.org/entity/Q201097,basket,,1926-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q643352,grass,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q665028,Dead Eagle Owl,http://www.wikidata.org/entity/Q130933,Eurasian Eagle-owl,eurasian eagle owl,1881-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q665028,Dead Eagle Owl,http://www.wikidata.org/entity/Q130933,Eurasian Eagle-owl,Eurasian Eagle Owl,1881-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q665028,Dead Eagle Owl,http://www.wikidata.org/entity/Q130933,Eurasian Eagle-owl,Eurasian Eagle-owl,1881-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q665028,Dead Eagle Owl,http://www.wikidata.org/entity/Q130933,Eurasian Eagle-owl,Eurasian Eagle-Owl,1881-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q200539,dress,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q1144593,sitting,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q665028,Dead Eagle Owl,http://www.wikidata.org/entity/Q130933,Eurasian Eagle-owl,Northern Eagle Owl,1881-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q1399035,Fruit in a Faience Dish,http://www.wikidata.org/entity/Q3314483,fruit,,1621-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q2367101,brown hair,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q153517,The Basket of Bread,http://www.wikidata.org/entity/Q14748,table,,1926-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q2349662,Still Life with Sweets,http://www.wikidata.org/entity/Q208729,nougat,,1622-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q1781689,Still Life with Old Shoe,http://www.wikidata.org/entity/Q89,apple,,1937-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q2270291,Basket of Fruit,http://www.wikidata.org/entity/Q3314483,fruit,,1600-01-01T00:00:00Z,Italy,ITA
http://www.wikidata.org/entity/Q2258217,Pyramid of Skulls,http://www.wikidata.org/entity/Q3358290,pyramid,,1899-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q10884,tree,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2229658,Boxes and glass with sweets,http://www.wikidata.org/entity/Q188075,box,,1621-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q3241565,woodland,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q204390,straw hat,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q80151,hat,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2270291,Basket of Fruit,http://www.wikidata.org/entity/Q33971,leaf,,1600-01-01T00:00:00Z,Italy,ITA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q1494444,assistive cane,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2349656,"Still-Life of Glass, Pottery, and Sweets",http://www.wikidata.org/entity/Q1922981,glassware,,1622-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q2258217,Pyramid of Skulls,http://www.wikidata.org/entity/Q9604,human skull,,1899-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2349649,Still life with fruit bowl on a table and view of a landscape through an open window,http://www.wikidata.org/entity/Q3314483,fruit,,1621-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q11460,clothing,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2349666,"Rideau, Cruchon et Compotier",http://www.wikidata.org/entity/Q89,apple,,1893-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q3314483,fruit,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q1399035,Fruit in a Faience Dish,http://www.wikidata.org/entity/Q3733836,apricot,,1621-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q11202319,goldsmithing,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2270291,Basket of Fruit,http://www.wikidata.org/entity/Q10978,grape,,1600-01-01T00:00:00Z,Italy,ITA
http://www.wikidata.org/entity/Q152509,Luncheon on the Grass,http://www.wikidata.org/entity/Q271273,Victorine Meurent,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q3220656,Le Buffet,http://www.wikidata.org/entity/Q6401215,Prunus subg. Prunus,,1728-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2918824,The Portrait,http://www.wikidata.org/entity/Q57216,plate,,1935-01-01T00:00:00Z,Belgium,BEL
http://www.wikidata.org/entity/Q3828749,Q3828749,http://www.wikidata.org/entity/Q536168,tablecloth,,1908-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q3213037,Still life with fruit basket,http://www.wikidata.org/entity/Q851782,tableware,,1888-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q3212142,La Raie,http://www.wikidata.org/entity/Q2227860,sauteuse,,1727-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q3828749,Q3828749,http://www.wikidata.org/entity/Q14748,table,,1908-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q3603728,Clothes on the Grass,http://www.wikidata.org/entity/Q643352,grass,,1883-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q3873325,Still Life with Apples,http://www.wikidata.org/entity/Q57216,plate,,2021-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q3212142,La Raie,http://www.wikidata.org/entity/Q2602774,marmite,,1727-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q2990688,Still Life with Compotier,http://www.wikidata.org/entity/Q89,apple,,1879-01-01T00:00:00Z,France,FRA
